region,census_code,총인구,총종사자수
분당(판교),31021680010401,428.0,22.0
분당(판교),31021680010402,324.0,99.0
분당(판교),31021680010501,394.0,70.0
분당(판교),31021680010601,610.0,50.0
분당(판교),31021680010602,402.0,24.0
분당(판교),31021680010603,455.0,11.0
분당(판교),31021680010701,630.0,27.0
분당(판교),31021680010702,512.0,8.0
분당(판교),31021680010801,544.0,35.0
분당(판교),31021680010802,405.0,2.0
분당(판교),31021680010803,616.0,20.0
분당(판교),31021680010804,379.0,21.0
분당(판교),31021680010805,513.0,12.0
분당(판교),31021680010806,509.0,5.0
분당(판교),31021680010807,446.0,2.0
분당(판교),31021680010808,399.0,7.0
분당(판교),31021680010809,430.0,6.0
분당(판교),31021680010901,346.0,83.0
분당(판교),31021680020101,661.0,263.0
분당(판교),31021680020201,562.0,15.0
분당(판교),31021680020202,519.0,12.0
분당(판교),31021680020203,600.0,20.0
분당(판교),31021680020204,574.0,16.0
분당(판교),31021680020205,626.0,59.0
분당(판교),31021680020206,317.0,6.0
분당(판교),31021680020207,615.0,60.0
분당(판교),31021680030001,402.0,27.0
분당(판교),31021680030002,364.0,464.0
분당(판교),31021680030003,332.0,1685.0
분당(판교),31021680030004,429.0,325.0
분당(판교),31021680030005,0.0,7.0
분당(판교),31021680030101,411.0,29.0
분당(판교),31021680030102,504.0,13.0
분당(판교),31021680030103,543.0,22.0
분당(판교),31021680030201,603.0,5.0
분당(판교),31021680030202,518.0,39.0
분당(판교),31021680030203,600.0,6.0
분당(판교),31021680030204,425.0,7.0
분당(판교),31021680030205,498.0,4.0
분당(판교),31021680030301,397.0,9.0
분당(판교),31021680030302,590.0,31.0
분당(판교),31021680030401,514.0,17.0
분당(판교),31021680030402,575.0,14.0
분당(판교),31021680030403,634.0,13.0
분당(판교),31021680030404,464.0,41.0
분당(판교),31021680030501,495.0,33.0
분당(판교),31021680030502,580.0,59.0
분당(판교),31021680030503,601.0,33.0
분당(판교),31021680030504,465.0,17.0
분당(판교),31021680030505,516.0,18.0
분당(판교),31021680030506,521.0,13.0
분당(판교),31021680030507,580.0,23.0
분당(판교),31021680030601,551.0,48.0
분당(판교),31021680030602,411.0,9.0
분당(판교),31021680030603,570.0,18.0
분당(판교),31021680030604,407.0,7.0
분당(판교),31021680030605,616.0,24.0
분당(판교),31021680030606,581.0,19.0
분당(판교),31021680030607,432.0,24.0
분당(판교),31021680030701,488.0,30.0
분당(판교),31021680030702,556.0,12.0
분당(판교),31021680030703,591.0,21.0
분당(판교),31021680030704,454.0,5.0
분당(판교),31021680030705,591.0,12.0
분당(판교),31021680030706,488.0,59.0
분당(판교),31021680030707,603.0,11.0
분당(판교),31021680030708,519.0,11.0
분당(판교),31021680030709,552.0,20.0
분당(판교),31021680030801,478.0,6.0
분당(판교),31021680030802,410.0,19.0
분당(판교),31021680030803,433.0,8.0
분당(판교),31021680030804,512.0,19.0
송파(위례),11240510010001,416.0,79.0
송파(위례),11240510010002,564.0,89.0
송파(위례),11240510010003,601.0,22.0
송파(위례),11240510010004,409.0,20.0
송파(위례),11240510010005,493.0,39.0
송파(위례),11240510010006,442.0,89.0
송파(위례),11240510010007,424.0,280.0
송파(위례),11240510010008,570.0,31.0
송파(위례),11240510010009,490.0,256.0
송파(위례),11240510010010,507.0,77.0
송파(위례),11240510010011,539.0,719.0
송파(위례),11240510010012,499.0,26.0
송파(위례),11240510010013,553.0,37.0
송파(위례),11240510010014,419.0,93.0
송파(위례),11240510010015,544.0,19.0
송파(위례),11240510010016,570.0,48.0
송파(위례),11240510010101,635.0,18.0
송파(위례),11240510010201,536.0,62.0
송파(위례),11240510010202,596.0,4.0
송파(위례),11240510010301,632.0,26.0
송파(위례),11240510010302,505.0,20.0
송파(위례),11240510010303,476.0,45.0
송파(위례),11240510010304,483.0,6.0
송파(위례),11240520010001,376.0,320.0
송파(위례),11240520010002,609.0,119.0
송파(위례),11240520010003,427.0,26.0
송파(위례),11240520010004,331.0,372.0
송파(위례),11240520010005,504.0,101.0
송파(위례),11240520010006,390.0,78.0
송파(위례),11240520010007,473.0,159.0
송파(위례),11240520010008,616.0,810.0
송파(위례),11240520010009,390.0,22.0
송파(위례),11240520010010,608.0,76.0
송파(위례),11240520010011,356.0,388.0
송파(위례),11240520010012,553.0,108.0
송파(위례),11240520010013,506.0,114.0
송파(위례),11240520010014,476.0,160.0
송파(위례),11240520010015,346.0,74.0
송파(위례),11240520010016,475.0,261.0
송파(위례),11240520010017,582.0,64.0
송파(위례),11240520010018,576.0,254.0
송파(위례),11240520010020,0.0,351.0
송파(위례),11240520010021,453.0,67.0
송파(위례),11240520010201,390.0,14.0
송파(위례),11240520010202,421.0,3.0
송파(위례),11240520010203,451.0,21.0
송파(위례),11240520010204,601.0,62.0
송파(위례),11240520010301,382.0,28.0
송파(위례),11240520010302,371.0,11.0
송파(위례),11240520010501,424.0,4.0
송파(위례),11240520010502,363.0,14.0
송파(위례),11240520010503,578.0,26.0
송파(위례),11240520010601,604.0,12.0
송파(위례),11240520010602,459.0,152.0
송파(위례),11240520010603,504.0,12.0
송파(위례),11240520010604,372.0,4.0
송파(위례),11240520010605,486.0,66.0
송파(위례),11240520010701,377.0,61.0
송파(위례),11240520011201,474.0,5.0
송파(위례),11240520011202,463.0,27.0
송파(위례),11240520011401,503.0,25.0
송파(위례),11240520011501,474.0,47.0
송파(위례),11240520011601,555.0,20.0
송파(위례),11240520011602,488.0,25.0
송파(위례),11240520011701,338.0,10.0
송파(위례),11240520011801,390.0,7.0
송파(위례),11240520011802,464.0,416.0
송파(위례),11240520011803,337.0,6.0
송파(위례),11240520020001,362.0,10998.0
송파(위례),11240520020101,578.0,24.0
송파(위례),11240520020102,492.0,12.0
송파(위례),11240520020103,376.0,13.0
송파(위례),11240520020104,381.0,172.0
송파(위례),11240530010001,472.0,71.0
송파(위례),11240530010002,493.0,424.0
송파(위례),11240530010003,402.0,334.0
송파(위례),11240530010004,399.0,45.0
송파(위례),11240530010005,460.0,87.0
송파(위례),11240530010006,493.0,412.0
송파(위례),11240530010007,600.0,304.0
송파(위례),11240530010008,487.0,104.0
송파(위례),11240530010009,496.0,30.0
송파(위례),11240530010010,574.0,176.0
송파(위례),11240530010011,586.0,206.0
송파(위례),11240530010012,488.0,85.0
송파(위례),11240530010013,516.0,123.0
송파(위례),11240530010301,397.0,32.0
송파(위례),11240530010501,833.0,99.0
송파(위례),11240530020001,469.0,65.0
송파(위례),11240530020002,46.0,367.0
송파(위례),11240530020003,388.0,81.0
송파(위례),11240530020004,330.0,309.0
송파(위례),11240530020101,508.0,11.0
송파(위례),11240530020102,516.0,34.0
송파(위례),11240530020103,334.0,7.0
송파(위례),11240530020201,373.0,28.0
송파(위례),11240530020202,331.0,17.0
송파(위례),11240530020301,431.0,6.0
송파(위례),11240540010001,515.0,276.0
송파(위례),11240540010002,420.0,1648.0
송파(위례),11240540010003,425.0,650.0
송파(위례),11240540010004,368.0,228.0
송파(위례),11240540010005,0.0,154.0
송파(위례),11240540010006,472.0,42.0
송파(위례),11240540010007,580.0,41.0
송파(위례),11240540010008,560.0,32.0
송파(위례),11240540010009,350.0,132.0
송파(위례),11240540010010,391.0,18.0
송파(위례),11240540010011,380.0,22.0
송파(위례),11240540010013,497.0,32.0
송파(위례),11240540010101,446.0,10.0
송파(위례),11240540010102,450.0,6.0
송파(위례),11240540010103,598.0,9.0
송파(위례),11240540010104,567.0,5.0
송파(위례),11240540010105,683.0,53.0
송파(위례),11240540010106,467.0,75.0
송파(위례),11240540010107,650.0,9.0
송파(위례),11240540010108,564.0,4.0
송파(위례),11240540010109,430.0,7.0
송파(위례),11240540010110,457.0,9.0
송파(위례),11240540010201,631.0,30.0
송파(위례),11240540010202,515.0,17.0
송파(위례),11240540010203,547.0,8.0
송파(위례),11240540010204,495.0,11.0
송파(위례),11240540010205,483.0,97.0
송파(위례),11240540010206,368.0,2.0
송파(위례),11240540010501,531.0,52.0
송파(위례),11240540010502,536.0,5.0
송파(위례),11240540010601,751.0,32.0
송파(위례),11240540010701,693.0,42.0
송파(위례),11240540010702,322.0,9.0
송파(위례),11240540010801,584.0,780.0
송파(위례),11240540010802,596.0,25.0
송파(위례),11240540010901,451.0,5.0
송파(위례),11240540010902,603.0,25.0
송파(위례),11240540010903,476.0,32.0
송파(위례),11240540011101,447.0,6.0
송파(위례),11240540011102,558.0,105.0
송파(위례),11240540011103,623.0,15.0
송파(위례),11240540011104,476.0,17.0
송파(위례),11240540011201,462.0,8.0
송파(위례),11240540011202,501.0,16.0
송파(위례),11240540011203,442.0,28.0
송파(위례),11240550010001,562.0,110.0
송파(위례),11240550010002,532.0,112.0
송파(위례),11240550010003,605.0,78.0
송파(위례),11240550010004,511.0,97.0
송파(위례),11240550010005,523.0,247.0
송파(위례),11240550010006,590.0,87.0
송파(위례),11240550010007,594.0,152.0
송파(위례),11240550010008,600.0,102.0
송파(위례),11240550010009,436.0,242.0
송파(위례),11240550010010,559.0,217.0
송파(위례),11240550010011,535.0,164.0
송파(위례),11240550010012,594.0,121.0
송파(위례),11240550010013,582.0,37.0
송파(위례),11240550010014,563.0,164.0
송파(위례),11240550010015,562.0,15.0
송파(위례),11240550010016,552.0,19.0
송파(위례),11240550010017,525.0,83.0
송파(위례),11240550010018,495.0,136.0
송파(위례),11240550010019,596.0,320.0
송파(위례),11240550010020,430.0,151.0
송파(위례),11240550010301,501.0,28.0
송파(위례),11240550010401,529.0,18.0
송파(위례),11240550010501,594.0,12.0
송파(위례),11240550010502,495.0,9.0
송파(위례),11240550010503,577.0,41.0
송파(위례),11240550010504,459.0,14.0
송파(위례),11240550010601,417.0,18.0
송파(위례),11240550010602,399.0,23.0
송파(위례),11240550010603,487.0,10.0
송파(위례),11240550010604,443.0,12.0
송파(위례),11240550010605,555.0,28.0
송파(위례),11240560010001,399.0,468.0
송파(위례),11240560010002,538.0,41.0
송파(위례),11240560010003,437.0,7.0
송파(위례),11240560010004,499.0,86.0
송파(위례),11240560010005,503.0,25.0
송파(위례),11240560010006,515.0,39.0
송파(위례),11240560010007,477.0,197.0
송파(위례),11240560010008,580.0,182.0
송파(위례),11240560010009,444.0,603.0
